module folder name,modulename,source,profiles,blank
heliotail,,,['SS Safari'],
tauceti,,,[],
dtypes,,,[],
dgtauri,,,[],
haumeaold,,,[],
mom,,,[],
satellites,,,"['3DRainforest_V3', '3DRainforest_V3', '3DRainforest_V3', '3DRainforest_V3', '3DRainforest_V3']",
newhorizons,,,['SS Safari'],
planetint_wms,,,['SS Safari'],
rrlyr,,,[],
almascope,,,[],
Sedna,,,[],
exoplanets_HE_FP,,,[],
esocepheids,,,[],
PlutoMoons,,,['SS Safari'],
J1407,,,[],
oxygen,,,[],
water21_25cm,,,[],
Kep438,,,[],
bulge,,,['SS Safari'],
gravity_waves,,,[],
distmodkbos,,,[],
red_giant_in_SS,,,[],
sdsselements,,,[],
mwsats,,,[],
chandra,,,[],
HAT-P-7,,,[],
ISO,,,['SS Safari'],
Quaoar,,,[],
galac,,,['SS Safari'],
mwHalpha,,,['SS Safari'],
vtypes,,,[],
exoplanets_CAS,,,['KSC_show'],
lagrange,,,['KSC_show'],
sentinel_Dan,,,[],
apophis,,,[],
dm_halo,,,[],
stardust,,,[],
HD189733,,,[],
juno,,,[],
novacen2013,,,[],
dawn,,,[],
NN3707,,,[],
266PChristensen,,,[],
bolides,,,[],
EarthShadowDiagram,,,[],
overlay,,,['SS Safari'],
J1119-1137,,,[],
mw2MASS,,,[],
iue_obs,,,[],
mwCO,,,['SS Safari'],
trappist_1,,,[],
messenger,,,[],
w0855,,,[],
xwing,,,[],
nsted_stars,,,[],
B612_logo,,,[],
water190,,,[],
curiosity_panorama,,,"['SS Safari', 'SS Safari']",
mwVis,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
jwst,,,[],
rosat,,,[],
mms,,,[],
maven,,,[],
gw170817,,,[],
55cancri,,,[],
kelt-9,,,[],
water73_74cm,,,[],
vesta_c,,,[],
venus,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show']",
19P-Borrelly,,,[],
hubble,,,[],
2012DA14_sosys,,,[],
epic206011691,,,[],
k2-3,,,[],
Eris,,,[],
phoebering,,,[],
Ganymede_Mercury,,,['SS Safari'],
Kepler,,,[],
openclusters,,,['SS Safari'],
GLAST,,,[],
water14_9,,,[],
Luhman16,,,[],
OCO2,,,['3DRainforest_V2'],
2015PDC,,,[],
90antiope,,,[],
starorbits,,,['SS Safari'],
enebksc,,,[],
CAS_mdwarf,,,[],
mercuryHighres,,,[],
mbrownImages,,,[],
ISS,,,"['SS Safari', 'SS Safari']",
Audio_IncomingFullAlbum,,,[],
AWing,,,[],
jwst_ksc,,,['KSC_show'],
kbowarps,,,[],
radec,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
TieFighter,,,[],
water692,,,[],
Venus_Earth,,,[],
mercury,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
iovolcanoes,,,['SS Safari'],
venuswms,,,"['SS Safari', 'SS Safari']",
51Peg,,,[],
ConstellationBoundaries,,,[],
m4,,,[],
phobos,,,['SS Safari'],
venusearth,,,[],
water29_6,,,[],
EarthEnergyBudget,,,[],
Itokawa_c,,,[],
WASP12,,,[],
monocerosring,,,[],
magneto,,,"['3DRainforest_V2', '3DRainforest_V3', 'SS Safari', 'SS Safari']",
pioneer10,,,[],
pioneer11,,,[],
stars,,,['SS Safari'],
starshot,,,[],
C2012_S1_ISON,,,[],
cassinispk,,,[],
MWdwarfs,,,[],
SIMPJ0136,,,[],
ap_sdss_spi,,,[],
luvoir,,,[],
impact_sites,,,[],
SunSurface,,,"['KSC_show', 'SS Safari', 'SS Safari']",
chariklo,,,[],
CAS_stars,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
particlezoo,,,[],
apollo,,,[],
grace,,,[],
PleiadesEvo,,,[],
planetarynebulae,,,"['KSC_show', 'SS Safari']",
LSRJ18353259_aurora,,,[],
moon_impact_sites,,,[],
water144,,,[],
KOI351,,,[],
pulsars,,,"['KSC_show', 'SS Safari']",
MilleniumFalcon,,,[],
europawater,,,[],
constellations_native,,,[],
fermi,,,[],
jupiter,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show']",
JupiterMoons,,,['SS Safari'],
1992qb1,,,[],
ossos,,,[],
greatrefractor,,,[],
PanSTARRS,,,[],
2RXS,,,[],
rf_slides,,,['3DRainforest_V2'],
CAS_stars-reduced,,,[],
SaturnMoons,,,['SS Safari'],
haumea,,,"['SS Safari', 'SS Safari']",
nsted_stars-reduced,,,[],
vallenp,,,[],
2002gv31,,,[],
waypoints,,,['KSC_show'],
tatoo,,,[],
water31,,,[],
gemini,,,[],
betapictoris,,,[],
icn2,,,[],
rogueplanets,,,[],
denver_stars,,,[],
h2regions,,,['SS Safari'],
HighlightMovingPlanets,,,[],
Deepimpact,,,[],
xgalcepheids,,,[],
mainbelt,,,[],
mwGamma,,,['SS Safari'],
maneyelash,,,[],
2df,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
59virg,,,[],
eclipse,,,[],
plutoWatmo,,,"['SS Safari', 'SS Safari']",
wmap,,,['SS Safari'],
vesta_wms,,,[],
sloanquasars,,,"['KSC_show', 'SS Safari']",
fireballsinthesky,,,[],
tess,,,[],
C1995-O1-Hale-Bopp,,,[],
OpeningScene,,,[],
setitargets,,,[],
HAT-P-26,,,[],
arcturus,,,[],
Itokawa,,,[],
kep1647,,,[],
moon_ss,,,[],
BEAM,,,[],
globularclusters,,,"['KSC_show', 'SS Safari']",
TONS_Panorama,,,[],
2014mu69,,,[],
47tuc,,,[],
centaurs,,,[],
brown_dwarfs,,,[],
perseid_meteor,,,[],
exoplanets,,,['SS Safari'],
cosmographies,,,[],
